A,B,C,D
Li1+,I7+,Li1+,O2-
Zr3+,Ta4+,Li1+,O2-
V3+,Mo4+,Li1+,O2-
Y3+,Ta4+,Li1+,O2-
V3+,W4+,Li1+,O2-
Fe5+,Cs1+,Li1+,O2-
Ag3+,Pd4+,Li1+,O2-
Cr5+,K1+,Li1+,O2-
Ag3+,Nb4+,Li1+,O2-
V3+,Te4+,Li1+,O2-
Ta5+,Ag1+,Li1+,O2-
Ta3+,Sn4+,Li1+,O2-
Co3+,Ta4+,Li1+,O2-
K1+,Re7+,Li1+,O2-
Lu3+,Ta4+,Li1+,O2-
Yb3+,Ta4+,Li1+,O2-
Tm3+,Ta4+,Li1+,O2-
Er3+,Ta4+,Li1+,O2-
Ho3+,Ta4+,Li1+,O2-
Dy3+,Ta4+,Li1+,O2-
Tb3+,Ta4+,Li1+,O2-
Co1+,Br7+,Li1+,O2-
Gd3+,Ta4+,Li1+,O2-
Eu3+,Ta4+,Li1+,O2-
Sm3+,Ta4+,Li1+,O2-
Hg1+,Br7+,Li1+,O2-
Nd3+,Ta4+,Li1+,O2-
Mn5+,Cs1+,Li1+,O2-
Pr3+,Ta4+,Li1+,O2-
Ce3+,Ta4+,Li1+,O2-
La3+,Ta4+,Li1+,O2-
V5+,Rb1+,Li1+,O2-
Cr3+,W4+,Li1+,O2-
In1+,Ru7+,Li1+,O2-
In3+,Ru4+,Li1+,O2-
Ta5+,In1+,Li1+,O2-
Cr3+,Mo4+,Li1+,O2-
In3+,Rh4+,Li1+,O2-
Sc3+,W4+,Li1+,O2-
Rb1+,Mn7+,Li1+,O2-
Cr3+,Te4+,Li1+,O2-
Ta3+,Hf4+,Li1+,O2-
In3+,Pd4+,Li1+,O2-
V3+,Ta4+,Li1+,O2-
Sc3+,Mo4+,Li1+,O2-
Ta5+,Cu1+,Li1+,O2-
In3+,Nb4+,Li1+,O2-
Ta3+,Se4+,Li1+,O2-
Ta3+,Fe4+,Li1+,O2-
Sc3+,Te4+,Li1+,O2-
Ta5+,Ni1+,Li1+,O2-
Ta3+,Ni4+,Li1+,O2-
Rb1+,Cl7+,Li1+,O2-
Ta3+,Ge4+,Li1+,O2-
Nb5+,Au1+,Li1+,O2-
Cr5+,Rb1+,Li1+,O2-
Ta5+,Mn1+,Li1+,O2-
Ta3+,Mn4+,Li1+,O2-
Ta3+,Ti4+,Li1+,O2-
Ta3+,Zr4+,Li1+,O2-
Ta5+,Hg1+,Li1+,O2-
Ta3+,S4+,Li1+,O2-
Fe3+,Ru4+,Li1+,O2-
Ta3+,Si4+,Li1+,O2-
Rb1+,Re7+,Li1+,O2-
Cr3+,Ta4+,Li1+,O2-
Ta5+,Na1+,Li1+,O2-
Bi5+,Au1+,Li1+,O2-
Ta3+,Tb4+,Li1+,O2-
Li1+,Br7+,Li1+,O2-
Ta3+,Pr4+,Li1+,O2-
Ta3+,Ce4+,Li1+,O2-
Fe3+,Rh4+,Li1+,O2-
Fe5+,Rh1+,Li1+,O2-
Ta3+,Co4+,Li1+,O2-
Ta5+,Co1+,Li1+,O2-
Ta5+,Re1+,Li1+,O2-
Ta3+,Re4+,Li1+,O2-
Sc3+,Ta4+,Li1+,O2-
Ta5+,N1+,Li1+,O2-
Fe3+,Pd4+,Li1+,O2-
Fe5+,Pd1+,Li1+,O2-
Ta5+,C1+,Li1+,O2-
Ta3+,C4+,Li1+,O2-
Hg1+,Ru7+,Li1+,O2-
Mn3+,Ru4+,Li1+,O2-
Mn1+,Ru7+,Li1+,O2-
Fe3+,Nb4+,Li1+,O2-
Ti3+,Ru4+,Li1+,O2-
V5+,Cs1+,Li1+,O2-
Lu3+,Ru4+,Li1+,O2-
Yb3+,Ru4+,Li1+,O2-
Zr3+,Ru4+,Li1+,O2-
Mn5+,Rh1+,Li1+,O2-
Mn3+,Rh4+,Li1+,O2-
Ta3+,V4+,Li1+,O2-
Tm3+,Ru4+,Li1+,O2-
Er3+,Ru4+,Li1+,O2-
Lu3+,Rh4+,Li1+,O2-
Y3+,Ru4+,Li1+,O2-
Ho3+,Ru4+,Li1+,O2-
Yb3+,Rh4+,Li1+,O2-
Dy3+,Ru4+,Li1+,O2-
Ti3+,Rh4+,Li1+,O2-
Tm3+,Rh4+,Li1+,O2-
Zr3+,Rh4+,Li1+,O2-
Tb3+,Ru4+,Li1+,O2-
Er3+,Rh4+,Li1+,O2-
Gd3+,Ru4+,Li1+,O2-
Ho3+,Rh4+,Li1+,O2-
Y3+,Rh4+,Li1+,O2-
Dy3+,Rh4+,Li1+,O2-
Eu3+,Ru4+,Li1+,O2-
Sm3+,Ru4+,Li1+,O2-
Tb3+,Rh4+,Li1+,O2-
Lu3+,Pd4+,Li1+,O2-
Gd3+,Rh4+,Li1+,O2-
Yb3+,Pd4+,Li1+,O2-
Ta5+,Li1+,Li1+,O2-
Mn3+,Pd4+,Li1+,O2-
Mn5+,Pd1+,Li1+,O2-
Tm3+,Pd4+,Li1+,O2-
Nd3+,Ru4+,Li1+,O2-
Eu3+,Rh4+,Li1+,O2-
Er3+,Pd4+,Li1+,O2-
Sm3+,Rh4+,Li1+,O2-
Pr3+,Ru4+,Li1+,O2-
Ho3+,Pd4+,Li1+,O2-
Ce3+,Ru4+,Li1+,O2-
Zr3+,Pd4+,Li1+,O2-
La3+,Ru4+,Li1+,O2-
Dy3+,Pd4+,Li1+,O2-
Ti3+,Pd4+,Li1+,O2-
Nd3+,Rh4+,Li1+,O2-
Tb3+,Pd4+,Li1+,O2-
Y3+,Pd4+,Li1+,O2-
Lu3+,Nb4+,Li1+,O2-
Gd3+,Pd4+,Li1+,O2-
Nb3+,Pb4+,Li1+,O2-
Pr3+,Rh4+,Li1+,O2-
Yb3+,Nb4+,Li1+,O2-
Ce3+,Rh4+,Li1+,O2-
Bi3+,Pb4+,Li1+,O2-
La3+,Rh4+,Li1+,O2-
Ta3+,Cr4+,Li1+,O2-
Eu3+,Pd4+,Li1+,O2-
Tm3+,Nb4+,Li1+,O2-
Sm3+,Pd4+,Li1+,O2-
Er3+,Nb4+,Li1+,O2-
Ho3+,Nb4+,Li1+,O2-
Dy3+,Nb4+,Li1+,O2-
Nd3+,Pd4+,Li1+,O2-
Mn3+,Nb4+,Li1+,O2-
Tb3+,Nb4+,Li1+,O2-
Zr3+,Nb4+,Li1+,O2-
Pr3+,Pd4+,Li1+,O2-
Gd3+,Nb4+,Li1+,O2-
Ce3+,Pd4+,Li1+,O2-
La3+,Pd4+,Li1+,O2-
Y3+,Nb4+,Li1+,O2-
Eu3+,Nb4+,Li1+,O2-
Ti3+,Nb4+,Li1+,O2-
Sm3+,Nb4+,Li1+,O2-
Ta5+,P1+,Li1+,O2-
Ta3+,P4+,Li1+,O2-
Nd3+,Nb4+,Li1+,O2-
Na1+,Ru7+,Li1+,O2-
Pr3+,Nb4+,Li1+,O2-
Ce3+,Nb4+,Li1+,O2-
Cr5+,Cs1+,Li1+,O2-
La3+,Nb4+,Li1+,O2-
Cs1+,Mn7+,Li1+,O2-
K1+,I7+,Li1+,O2-
Co1+,Ru7+,Li1+,O2-
Co3+,Ru4+,Li1+,O2-
Cs1+,Re7+,Li1+,O2-
Co3+,Rh4+,Li1+,O2-
Ta3+,W4+,Li1+,O2-
Fe5+,Tl1+,Li1+,O2-
Co3+,Pd4+,Li1+,O2-
Cs1+,Cl7+,Li1+,O2-
Tl3+,Pb4+,Li1+,O2-
Mn5+,Tl1+,Li1+,O2-
Co3+,Nb4+,Li1+,O2-
Ta3+,Te4+,Li1+,O2-
Bi3+,Sn4+,Li1+,O2-
Ta3+,Mo4+,Li1+,O2-
Ta5+,K1+,Li1+,O2-
Bi5+,Ag1+,Li1+,O2-
Ta3+,Ta4+,Li1+,O2-
Rb1+,I7+,Li1+,O2-
Bi3+,Hf4+,Li1+,O2-
V3+,Ru4+,Li1+,O2-
V3+,Rh4+,Li1+,O2-
V5+,Rh1+,Li1+,O2-
Ta5+,Rb1+,Li1+,O2-
Bi5+,In1+,Li1+,O2-
Nb3+,Sn4+,Li1+,O2-
Nb5+,Ag1+,Li1+,O2-
V3+,Pd4+,Li1+,O2-
V5+,Pd1+,Li1+,O2-
Bi5+,Hg1+,Li1+,O2-
Nb3+,Hf4+,Li1+,O2-
V3+,Nb4+,Li1+,O2-
Bi3+,Se4+,Li1+,O2-
Bi3+,Tb4+,Li1+,O2-
Bi5+,Re1+,Li1+,O2-
Bi3+,Re4+,Li1+,O2-
Cr3+,Ru4+,Li1+,O2-
Bi5+,Cu1+,Li1+,O2-
Tl3+,Sn4+,Li1+,O2-
Bi3+,Ge4+,Li1+,O2-
Nb5+,In1+,Li1+,O2-
Ta5+,Cs1+,Li1+,O2-
Cr5+,Rh1+,Li1+,O2-
Cr3+,Rh4+,Li1+,O2-
Bi3+,Pr4+,Li1+,O2-
Bi3+,Ce4+,Li1+,O2-
Bi5+,Ni1+,Li1+,O2-
Bi3+,Ni4+,Li1+,O2-
Tl3+,Hf4+,Li1+,O2-
Bi3+,Fe4+,Li1+,O2-
Bi3+,Zr4+,Li1+,O2-
Li1+,Ru7+,Li1+,O2-
V5+,Tl1+,Li1+,O2-
Cr5+,Pd1+,Li1+,O2-
Cr3+,Pd4+,Li1+,O2-
K1+,Br7+,Li1+,O2-
Nb5+,Hg1+,Li1+,O2-
Bi5+,Mn1+,Li1+,O2-
Bi3+,Mn4+,Li1+,O2-
Sc3+,Ru4+,Li1+,O2-
Bi3+,Ti4+,Li1+,O2-
Cs1+,I7+,Li1+,O2-
Sc3+,Rh4+,Li1+,O2-
Cr3+,Nb4+,Li1+,O2-
Bi3+,S4+,Li1+,O2-
Sc3+,Pd4+,Li1+,O2-
Bi5+,Co1+,Li1+,O2-
Bi3+,Co4+,Li1+,O2-
Bi3+,Si4+,Li1+,O2-
Ag1+,Os7+,Li1+,O2-
Ag3+,Os4+,Li1+,O2-
Nb3+,Re4+,Li1+,O2-
Nb5+,Re1+,Li1+,O2-
Nb3+,Tb4+,Li1+,O2-
Cr5+,Tl1+,Li1+,O2-
Bi5+,Na1+,Li1+,O2-
Rb1+,Br7+,Li1+,O2-
Ag3+,Ir4+,Li1+,O2-
Tl3+,Re4+,Li1+,O2-
Tl1+,Re7+,Li1+,O2-
Tl3+,Tb4+,Li1+,O2-
Nb3+,Se4+,Li1+,O2-
Ag3+,Pt4+,Li1+,O2-
Nb3+,Pr4+,Li1+,O2-
Sc3+,Nb4+,Li1+,O2-
Nb3+,Ce4+,Li1+,O2-
Tl3+,Se4+,Li1+,O2-
Tl3+,Pr4+,Li1+,O2-
Tl3+,Ce4+,Li1+,O2-
Bi3+,V4+,Li1+,O2-
Bi5+,N1+,Li1+,O2-
Nb5+,Cu1+,Li1+,O2-
Nb3+,Ge4+,Li1+,O2-
Tl3+,Ge4+,Li1+,O2-
Bi3+,W4+,Li1+,O2-
Bi5+,C1+,Li1+,O2-
Bi3+,C4+,Li1+,O2-
Ta3+,Ru4+,Li1+,O2-
Tl3+,Zr4+,Li1+,O2-
Tl3+,Ni4+,Li1+,O2-
Nb3+,Zr4+,Li1+,O2-
Nb5+,Ni1+,Li1+,O2-
Nb3+,Ni4+,Li1+,O2-
Tl3+,Fe4+,Li1+,O2-
Ta5+,Rh1+,Li1+,O2-
Ta3+,Rh4+,Li1+,O2-
Hg1+,Os7+,Li1+,O2-
In3+,Os4+,Li1+,O2-
In1+,Os7+,Li1+,O2-
Nb3+,Fe4+,Li1+,O2-
Bi3+,Cr4+,Li1+,O2-
Ta5+,Pd1+,Li1+,O2-
Ta3+,Pd4+,Li1+,O2-
In3+,Ir4+,Li1+,O2-
Tl1+,Mn7+,Li1+,O2-
Tl3+,Mn4+,Li1+,O2-
In3+,Pt4+,Li1+,O2-
Ta5+,Tl1+,Li1+,O2-
Bi5+,Li1+,Li1+,O2-
Tl3+,Ti4+,Li1+,O2-
Ta3+,Nb4+,Li1+,O2-
Nb5+,Mn1+,Li1+,O2-
Nb3+,Mn4+,Li1+,O2-
Lu3+,Os4+,Li1+,O2-
Bi3+,P4+,Li1+,O2-
Bi5+,P1+,Li1+,O2-
Yb3+,Os4+,Li1+,O2-
Bi3+,Ta4+,Li1+,O2-
Lu3+,Ir4+,Li1+,O2-
Nb3+,Ti4+,Li1+,O2-
Yb3+,Ir4+,Li1+,O2-
Tm3+,Os4+,Li1+,O2-
Bi3+,Te4+,Li1+,O2-
Er3+,Os4+,Li1+,O2-
Tl3+,Co4+,Li1+,O2-
Tl3+,S4+,Li1+,O2-
Lu3+,Pt4+,Li1+,O2-
Tm3+,Ir4+,Li1+,O2-
Ho3+,Os4+,Li1+,O2-
Yb3+,Pt4+,Li1+,O2-
Cs1+,Br7+,Li1+,O2-
Tl1+,Cl7+,Li1+,O2-
Er3+,Ir4+,Li1+,O2-
Dy3+,Os4+,Li1+,O2-
Ho3+,Ir4+,Li1+,O2-
Tm3+,Pt4+,Li1+,O2-
Tl3+,Si4+,Li1+,O2-
Dy3+,Ir4+,Li1+,O2-
Tb3+,Os4+,Li1+,O2-
Er3+,Pt4+,Li1+,O2-
Gd3+,Os4+,Li1+,O2-
Ho3+,Pt4+,Li1+,O2-
Tb3+,Ir4+,Li1+,O2-
Bi3+,Mo4+,Li1+,O2-
Dy3+,Pt4+,Li1+,O2-
Gd3+,Ir4+,Li1+,O2-
Tl3+,W4+,Li1+,O2-
Eu3+,Os4+,Li1+,O2-
Tb3+,Pt4+,Li1+,O2-
Sm3+,Os4+,Li1+,O2-
Gd3+,Pt4+,Li1+,O2-
Nb3+,Co4+,Li1+,O2-
Nb5+,Co1+,Li1+,O2-
Eu3+,Ir4+,Li1+,O2-
Nb3+,S4+,Li1+,O2-
Sm3+,Ir4+,Li1+,O2-
Nd3+,Os4+,Li1+,O2-
Eu3+,Pt4+,Li1+,O2-
Tl3+,V4+,Li1+,O2-
Sm3+,Pt4+,Li1+,O2-
Nd3+,Ir4+,Li1+,O2-
Pr3+,Os4+,Li1+,O2-
Ce3+,Os4+,Li1+,O2-
La3+,Os4+,Li1+,O2-
Pr3+,Ir4+,Li1+,O2-
Ce3+,Ir4+,Li1+,O2-
Nb3+,Si4+,Li1+,O2-
Nd3+,Pt4+,Li1+,O2-
Nb3+,W4+,Li1+,O2-
La3+,Ir4+,Li1+,O2-
Bi5+,K1+,Li1+,O2-
Tl3+,C4+,Li1+,O2-
Bi5+,Rb1+,Li1+,O2-
Pr3+,Pt4+,Li1+,O2-
Ce3+,Pt4+,Li1+,O2-
La3+,Pt4+,Li1+,O2-
Nb5+,Na1+,Li1+,O2-
Tl3+,Cr4+,Li1+,O2-
K1+,Ru7+,Li1+,O2-
Rb1+,Ru7+,Li1+,O2-
Tl3+,Ta4+,Li1+,O2-
Tl1+,I7+,Li1+,O2-
Nb3+,V4+,Li1+,O2-
Bi5+,Cs1+,Li1+,O2-
Tl3+,Te4+,Li1+,O2-
Zr3+,Os4+,Li1+,O2-
Zr3+,Ir4+,Li1+,O2-
Y3+,Os4+,Li1+,O2-
Tl3+,P4+,Li1+,O2-
Y3+,Ir4+,Li1+,O2-
Zr3+,Pt4+,Li1+,O2-
Nb5+,N1+,Li1+,O2-
Y3+,Pt4+,Li1+,O2-
Fe3+,Os4+,Li1+,O2-
Tl3+,Mo4+,Li1+,O2-
Fe3+,Ir4+,Li1+,O2-
Nb3+,C4+,Li1+,O2-
Nb5+,C1+,Li1+,O2-
Nb3+,Ta4+,Li1+,O2-
Nb3+,Cr4+,Li1+,O2-
Fe3+,Pt4+,Li1+,O2-
Cs1+,Ru7+,Li1+,O2-
Mn1+,Os7+,Li1+,O2-
Mn3+,Os4+,Li1+,O2-
Nb3+,Te4+,Li1+,O2-
Mn3+,Ir4+,Li1+,O2-
Mn3+,Pt4+,Li1+,O2-
Ti3+,Os4+,Li1+,O2-
Ti3+,Ir4+,Li1+,O2-
Bi5+,Tl1+,Li1+,O2-
Ti3+,Pt4+,Li1+,O2-
Nb5+,Li1+,Li1+,O2-
Nb3+,P4+,Li1+,O2-
Nb5+,P1+,Li1+,O2-
Nb3+,Mo4+,Li1+,O2-
Bi3+,Ru4+,Li1+,O2-
Co1+,Os7+,Li1+,O2-
Co3+,Os4+,Li1+,O2-
Tl1+,Br7+,Li1+,O2-
Bi3+,Rh4+,Li1+,O2-
Bi5+,Rh1+,Li1+,O2-
Co3+,Ir4+,Li1+,O2-
Bi3+,Pd4+,Li1+,O2-
Bi5+,Pd1+,Li1+,O2-
Co3+,Pt4+,Li1+,O2-
Bi3+,Nb4+,Li1+,O2-
Ta3+,Os4+,Li1+,O2-
Nb5+,Rb1+,Li1+,O2-
Ta3+,Ir4+,Li1+,O2-
Ta3+,Pt4+,Li1+,O2-
Na1+,Os7+,Li1+,O2-
V3+,Os4+,Li1+,O2-
Nb5+,Cs1+,Li1+,O2-
Nb5+,K1+,Li1+,O2-
V3+,Ir4+,Li1+,O2-
V3+,Pt4+,Li1+,O2-
Tl1+,Ru7+,Li1+,O2-
Tl3+,Ru4+,Li1+,O2-
Tl3+,Rh4+,Li1+,O2-
Tl3+,Pd4+,Li1+,O2-
Cr3+,Os4+,Li1+,O2-
Cr3+,Ir4+,Li1+,O2-
Tl3+,Nb4+,Li1+,O2-
Cr3+,Pt4+,Li1+,O2-
Sc3+,Os4+,Li1+,O2-
Sc3+,Ir4+,Li1+,O2-
Sc3+,Pt4+,Li1+,O2-
Nb5+,Tl1+,Li1+,O2-
Li1+,Os7+,Li1+,O2-
Bi3+,Os4+,Li1+,O2-
Cs1+,Os7+,Li1+,O2-
Bi3+,Ir4+,Li1+,O2-
Rb1+,Os7+,Li1+,O2-
Bi3+,Pt4+,Li1+,O2-
Nb3+,Ru4+,Li1+,O2-
Nb3+,Rh4+,Li1+,O2-
Nb5+,Rh1+,Li1+,O2-
Nb5+,Pd1+,Li1+,O2-
Nb3+,Pd4+,Li1+,O2-
Nb3+,Nb4+,Li1+,O2-
K1+,Os7+,Li1+,O2-
Tl3+,Os4+,Li1+,O2-
Tl1+,Os7+,Li1+,O2-
Tl3+,Ir4+,Li1+,O2-
Tl3+,Pt4+,Li1+,O2-
Nb3+,Os4+,Li1+,O2-
Nb3+,Ir4+,Li1+,O2-
Nb3+,Pt4+,Li1+,O2-
