Pretty Formula,A,B,C,D,sus_factor
Li7Tl3(SO6)2,Tl3+,S4+,Li1+,O2-,4738.922680666773
Li7Lu3(PtO6)2,Lu3+,Pt2-,Li1+,O1-,4740.007258260468
Li7Lu3(PtO6)2,Lu3+,Pt4+,Li1+,O2-,4740.007258260468
Li7Tm3(IrO6)2,Tm3+,Ir4+,Li1+,O2-,4744.143317481264
Li7Ho3(OsO6)2,Ho3+,Os2-,Li1+,O1-,4746.328893102032
Li7Ho3(OsO6)2,Ho3+,Os4+,Li1+,O2-,4746.328893102032
Li7Yb3(PtO6)2,Yb3+,Pt4+,Li1+,O2-,4748.252451281791
Li7Yb3(PtO6)2,Yb3+,Pt2-,Li1+,O1-,4748.252451281791
Cs3Li7(BrO6)2,Cs1+,Br1+,Li1+,O1-,4749.111998892837
Cs3Li7(BrO6)2,Cs1+,Br7+,Li1+,O2-,4749.111998892837
Li7Tl3(ClO6)2,Tl3+,Cl4+,Li1+,O2-,4749.865433489102
Li7Tl3(ClO6)2,Tl1+,Cl7+,Li1+,O2-,4749.865433489102
Li7Tl3(ClO6)2,Tl1+,Cl1+,Li1+,O1-,4749.865433489102
Rb3Li7(BiO6)2,Rb1+,Bi1+,Li1+,O1-,4750.287449286513
Rb3Li7(BiO6)2,Rb1+,Bi7+,Li1+,O2-,4750.287449286513
Li7Er3(IrO6)2,Er3+,Ir4+,Li1+,O2-,4751.476405380661
Li7Dy3(OsO6)2,Dy3+,Os2-,Li1+,O1-,4757.1569374414885
Li7Dy3(OsO6)2,Dy3+,Os4+,Li1+,O2-,4757.1569374414885
Li7Ho3(IrO6)2,Ho3+,Ir4+,Li1+,O2-,4761.779344463584
Li7Tm3(PtO6)2,Tm3+,Pt2-,Li1+,O1-,4766.099691070399
Li7Tm3(PtO6)2,Tm3+,Pt4+,Li1+,O2-,4766.099691070399
Li7Tl3(SiO6)2,Tl3+,Si2-,Li1+,O1-,4771.6274424231115
Li7Tl3(SiO6)2,Tl1+,Si1+,Li1+,O1-,4771.6274424231115
Li7Tl3(SiO6)2,Tl3+,Si4+,Li1+,O2-,4771.6274424231115
Li7Dy3(IrO6)2,Dy3+,Ir4+,Li1+,O2-,4772.669965981546
Li7Tb3(OsO6)2,Tb3+,Os4+,Li1+,O2-,4773.344778179328
Li7Tb3(OsO6)2,Tb3+,Os2-,Li1+,O1-,4773.344778179328
Li7Tb3(OsO6)2,Tb1+,Os7+,Li1+,O2-,4773.344778179328
Li7Tb3(OsO6)2,Tb1+,Os1+,Li1+,O1-,4773.344778179328
Li7Er3(PtO6)2,Er3+,Pt4+,Li1+,O2-,4773.493083771765
Li7Er3(PtO6)2,Er3+,Pt2-,Li1+,O1-,4773.493083771765
Li7Mg2Tl3O12,Tl1+,Mg1+,Li1+,O1-,4776.295612395199
Li7Al2Tl3O12,Tl1+,Al1+,Li1+,O1-,4780.8017604659635
Li7Gd3(OsO6)2,Gd1+,Os7+,Li1+,O2-,4781.040965060251
Li7Gd3(OsO6)2,Gd3+,Os2-,Li1+,O1-,4781.040965060251
Li7Gd3(OsO6)2,Gd1+,Os1+,Li1+,O1-,4781.040965060251
Li7Gd3(OsO6)2,Gd3+,Os4+,Li1+,O2-,4781.040965060251
Li7Ho3(PtO6)2,Ho3+,Pt2-,Li1+,O1-,4783.880189074964
Li7Ho3(PtO6)2,Ho3+,Pt4+,Li1+,O2-,4783.880189074964
Na2Li7Tl3O12,Tl1+,Na1+,Li1+,O1-,4788.79813013354
Li7Tb3(IrO6)2,Tb1+,Ir1+,Li1+,O1-,4788.950411006237
Li7Tb3(IrO6)2,Tb3+,Ir4+,Li1+,O2-,4788.950411006237
Li7Tb3(IrO6)2,Tb1+,Ir7+,Li1+,O2-,4788.950411006237
Li7Ca2Nb3O12,Nb5+,Ca1+,Li1+,O2-,4792.727593503525
Li7Ca2Nb3O12,Nb1+,Ca1+,Li1+,O1-,4792.727593503525
Li7Bi3(MoO6)2,Bi3+,Mo4+,Li1+,O2-,4793.909954776332
Li7Bi3(MoO6)2,Bi1+,Mo1+,Li1+,O1-,4793.909954776332
