Pretty Formula,A,B,C,D,sus_factor
Li7Mg5O12,Mg1+,Mg1+,Li1+,O1-,996.4637309419813
Na2Li7Mg3O12,Mg1+,Na1+,Li1+,O1-,1000.096615297045
Na3Li7Mg2O12,Na1+,Mg1+,Li1+,O1-,1001.9330684738841
Na5Li7O12,Na1+,Na1+,Li1+,O1-,1005.6467371063577
Li7Mg3(NO6)2,Mg1+,N1+,Li1+,O1-,1026.4058081182238
Li7Mg3(AuO6)2,Mg1+,Au1+,Li1+,O1-,1032.5467779306166
Na3Li7(NO6)2,Na1+,N1+,Li1+,O1-,1032.5588471016142
Li7Mg3(CO6)2,Mg1+,C1+,Li1+,O1-,1032.631915149554
Na3Li7(AuO6)2,Na1+,Au1+,Li1+,O1-,1035.5337270099144
Na3Li7(CO6)2,Na1+,C1+,Li1+,O1-,1038.9322370376615
Li7Mg3(SO6)2,Mg1+,S1+,Li1+,O1-,1060.971895913616
Li7Mg3(SiO6)2,Mg1+,Si1+,Li1+,O1-,1062.284636555505
Li7Mg3Al2O12,Mg1+,Al1+,Li1+,O1-,1062.6588826328743
Na3Li7(SO6)2,Na1+,S1+,Li1+,O1-,1066.8952198705827
Li7N2O15,O1-,N4+,Li1+,O1-,1067.8357024227444
Na3Li7(SiO6)2,Na1+,Si1+,Li1+,O1-,1068.3510300476455
Na3Li7Al2O12,Na1+,Al1+,Li1+,O1-,1068.766184762828
Li7C2O15,O1-,C4+,Li1+,O1-,1075.0871562773314
Li7S2O15,O1-,S4+,Li1+,O1-,1100.6013472901097
Li7Si2O15,O1-,Si4+,Li1+,O1-,1102.923866349141
Li7Mg3(BO6)2,Mg1+,B1+,Li1+,O1-,1133.226683950193
Na3Li7(BO6)2,Na1+,B1+,Li1+,O1-,1140.771175311958
Li7Mg3(ClO6)2,Mg1+,Cl7+,Li1+,O2-,1152.1263743467757
Li7Mg3(ClO6)2,Mg1+,Cl1+,Li1+,O1-,1152.1263743467757
Li7Fe3(AuO6)2,Fe5+,Au1+,Li1+,O2-,1157.7162586009915
Li7Fe3(AuO6)2,Fe1+,Au1+,Li1+,O1-,1157.7162586009915
Li7Ca3(AuO6)2,Ca1+,Au1+,Li1+,O1-,1158.4623851763147
Na3Li7(ClO6)2,Na1+,Cl1+,Li1+,O1-,1158.8895636681066
Na3Li7(ClO6)2,Na1+,Cl7+,Li1+,O2-,1158.8895636681066
Li7Mg3(FeO6)2,Mg1+,Fe1+,Li1+,O1-,1159.22605888075
Li7Ca2Mg3O12,Mg1+,Ca1+,Li1+,O1-,1160.3007030596661
Li7Cd3(AuO6)2,Cd1+,Au1+,Li1+,O1-,1165.3229447304361
Na3Li7(FeO6)2,Na1+,Fe1+,Li1+,O1-,1165.400943984679
Na3Li7Ca2O12,Na1+,Ca1+,Li1+,O1-,1166.9861255878582
Li7Mg3Cd2O12,Mg1+,Cd1+,Li1+,O1-,1168.0629324591023
Na3Li7Cd2O12,Na1+,Cd1+,Li1+,O1-,1172.9957790077217
Li7Ti3(AuO6)2,Ti1+,Au1+,Li1+,O1-,1187.1738737572903
Li7Mg3(NiO6)2,Mg1+,Ni1+,Li1+,O1-,1189.6527955707554
Li5AuO6,Li1+,Au1+,Li1+,O1-,1192.4441995122204
Na3Li7(NiO6)2,Na1+,Ni1+,Li1+,O1-,1196.026486746962
Li7Mg3(CuO6)2,Mg1+,Cu1+,Li1+,O1-,1196.4890913663323
Li7Mg3Ti2O12,Mg1+,Ti1+,Li1+,O1-,1196.6257018078884
Li7Ag3(AuO6)2,Ag1+,Au1+,Li1+,O1-,1197.1823210692548
Li7Cl2O15,O1-,Cl4+,Li1+,O1-,1197.327002036252
Li7Fe2O15,O1-,Fe4+,Li1+,O1-,1200.2630737405939
Na3Li7(CuO6)2,Na1+,Cu1+,Li1+,O1-,1202.7828907773046
Na3Li7Ti2O12,Na1+,Ti1+,Li1+,O1-,1203.4078018187356
Li3MgO4,Mg1+,Li1+,Li1+,O1-,1206.0222349292926
Li7Mg3(AgO6)2,Mg1+,Ag1+,Li1+,O1-,1206.5620091937135
Na3Li7(AgO6)2,Na1+,Ag1+,Li1+,O1-,1211.869363268059
NaLi3O4,Na1+,Li1+,Li1+,O1-,1214.635340872473
Li7Mg2Cd3O12,Cd1+,Mg1+,Li1+,O1-,1217.659542404906
Na2Li7Cd3O12,Cd1+,Na1+,Li1+,O1-,1220.6858311818764
Li7Mg2(FeO4)3,Fe5+,Mg1+,Li1+,O2-,1223.7474295243
Li7Mg2(FeO4)3,Fe1+,Mg1+,Li1+,O1-,1223.7474295243
Na2Li7(FeO4)3,Fe1+,Na1+,Li1+,O1-,1227.9399277432824
Na2Li7(FeO4)3,Fe5+,Na1+,Li1+,O2-,1227.9399277432824
Li7Ni2O15,O1-,Ni4+,Li1+,O1-,1231.9814427260687
Li7Mg3Be2O12,Mg1+,Be1+,Li1+,O1-,1232.5584773735739
Li7Ca3Mg2O12,Ca1+,Mg1+,Li1+,O1-,1232.7514912420825
Na2Li7Ca3O12,Ca1+,Na1+,Li1+,O1-,1237.4897068422633
Li7Cu2O15,O1-,Cu4+,Li1+,O1-,1238.2392282339356
Li7Mn3(AuO6)2,Mn5+,Au1+,Li1+,O2-,1239.3679814720851
Li7Mn3(AuO6)2,Mn1+,Au1+,Li1+,O1-,1239.3679814720851
Na3Li7Be2O12,Na1+,Be1+,Li1+,O1-,1241.3823000863183
Li7Ag2O15,O1-,Ag4+,Li1+,O1-,1241.47131234008
Li7Ti2O15,O1-,Ti4+,Li1+,O1-,1241.7913049813692
Li7Cd3(NO6)2,Cd1+,N1+,Li1+,O1-,1242.058200850343
Li7Cd3(CO6)2,Cd1+,C1+,Li1+,O1-,1246.9803145118703
Li7Cd3(SO6)2,Cd1+,S1+,Li1+,O1-,1250.2589015719159
Li7Fe3O14,Fe3+,O2-,Li1+,O1-,1251.0638162510768
Li7Cd3(SiO6)2,Cd1+,Si1+,Li1+,O1-,1253.4006389437711
Li7Al2Cd3O12,Cd1+,Al1+,Li1+,O1-,1254.2862204742628
Li7Fe3(NO6)2,Fe5+,N1+,Li1+,O2-,1257.9271416065276
Li7Fe3(NO6)2,Fe3+,N4+,Li1+,O2-,1257.9271416065276
Li7Fe3(NO6)2,Fe3+,N2-,Li1+,O1-,1257.9271416065276
Li7Fe3(NO6)2,Fe1+,N1+,Li1+,O1-,1257.9271416065276
Li7Mg3Mn2O12,Mg1+,Mn7+,Li1+,O2-,1262.0051936022337
Li7Mg3Mn2O12,Mg1+,Mn1+,Li1+,O1-,1262.0051936022337
Li7Fe3(CO6)2,Fe5+,C1+,Li1+,O2-,1264.9287423733535
Li7Fe3(CO6)2,Fe3+,C4+,Li1+,O2-,1264.9287423733535
Li7Fe3(CO6)2,Fe3+,C2-,Li1+,O1-,1264.9287423733535
Li7Fe3(CO6)2,Fe1+,C1+,Li1+,O1-,1264.9287423733535
Li7Fe3(SO6)2,Fe1+,S1+,Li1+,O1-,1267.8610754422282
Li7Fe3(SO6)2,Fe5+,S1+,Li1+,O2-,1267.8610754422282
Li7Fe3(SO6)2,Fe3+,S4+,Li1+,O2-,1267.8610754422282
Li7Fe3(SO6)2,Fe3+,S2-,Li1+,O1-,1267.8610754422282
Li7Mg2(AgO4)3,Ag1+,Mg1+,Li1+,O1-,1268.6363321858032
Na3Li7Mn2O12,Na1+,Mn1+,Li1+,O1-,1269.1736659156747
Na3Li7Mn2O12,Na1+,Mn7+,Li1+,O2-,1269.1736659156747
Li7Ca3(NO6)2,Ca1+,N1+,Li1+,O1-,1271.566135290947
Na2Li7(AgO4)3,Ag1+,Na1+,Li1+,O1-,1271.9499797244787
Li7Fe3(SiO6)2,Fe5+,Si1+,Li1+,O2-,1272.4528727779311
Li7Fe3(SiO6)2,Fe3+,Si4+,Li1+,O2-,1272.4528727779311
Li7Fe3(SiO6)2,Fe3+,Si2-,Li1+,O1-,1272.4528727779311
Li7Fe3(SiO6)2,Fe1+,Si1+,Li1+,O1-,1272.4528727779311
Li7Al2(FeO4)3,Fe1+,Al1+,Li1+,O1-,1273.754720235717
Li7Al2(FeO4)3,Fe5+,Al1+,Li1+,O2-,1273.754720235717
Li7Ca3(CO6)2,Ca1+,C1+,Li1+,O1-,1279.569800267751
Li7Mg2Ti3O12,Ti1+,Mg1+,Li1+,O1-,1280.360857947997
Li7Ca3(SO6)2,Ca1+,S1+,Li1+,O1-,1281.4466289424627
Li7Cd5O12,Cd1+,Cd1+,Li1+,O1-,1284.1871546063041
Li7Zn3(AuO6)2,Zn1+,Au1+,Li1+,O1-,1284.1879741190437
Na2Li7Ti3O12,Ti1+,Na1+,Li1+,O1-,1285.1328207769948
Li7Ca3(SiO6)2,Ca1+,Si1+,Li1+,O1-,1286.8186082562243
Li7Ca3Al2O12,Ca1+,Al1+,Li1+,O1-,1288.3453889892974
Li7Ag3O14,Ag3+,O2-,Li1+,O1-,1290.052520768784
Li7Ag3(NO6)2,Ag3+,N2-,Li1+,O1-,1295.3694525714213
Li7Ag3(NO6)2,Ag1+,N1+,Li1+,O1-,1295.3694525714213
Li7Ag3(NO6)2,Ag3+,N4+,Li1+,O2-,1295.3694525714213
Li7Cd3(FeO6)2,Cd1+,Fe1+,Li1+,O1-,1297.7912489985538
Li7Ag3(SO6)2,Ag1+,S1+,Li1+,O1-,1300.6836068057648
Li7Ag3(SO6)2,Ag3+,S2-,Li1+,O1-,1300.6836068057648
Li7Ag3(SO6)2,Ag3+,S4+,Li1+,O2-,1300.6836068057648
Li7Ag3(CO6)2,Ag1+,C1+,Li1+,O1-,1300.7674184783625
Li7Ag3(CO6)2,Ag3+,C4+,Li1+,O2-,1300.7674184783625
Li7Ag3(CO6)2,Ag3+,C2-,Li1+,O1-,1300.7674184783625
Li7Cd3(ClO6)2,Cd1+,Cl1+,Li1+,O1-,1302.29569422067
Li7Cd3(ClO6)2,Cd1+,Cl7+,Li1+,O2-,1302.29569422067
Li7Cd3(BO6)2,Cd1+,B1+,Li1+,O1-,1304.0762731826712
Li7Si2(AgO4)3,Ag1+,Si1+,Li1+,O1-,1304.5413000354315
Li7Si2(AgO4)3,Ag3+,Si4+,Li1+,O2-,1304.5413000354315
Li7Ca2Cd3O12,Cd1+,Ca1+,Li1+,O1-,1305.0751038651074
Li7Al2(AgO4)3,Ag1+,Al1+,Li1+,O1-,1305.6290722980243
Li7Cd2(FeO4)3,Fe5+,Cd1+,Li1+,O2-,1306.4170071956632
Li7Cd2(FeO4)3,Fe1+,Cd1+,Li1+,O1-,1306.4170071956632
Li7Mn2O15,O1-,Mn4+,Li1+,O1-,1309.656181468736
Li7Cd3(AgO6)2,Cd1+,Ag1+,Li1+,O1-,1311.1923747135027
Li7Ti3O14,Ti3+,O2-,Li1+,O1-,1311.5078201814792
Li7Cd3(NiO6)2,Cd1+,Ni1+,Li1+,O1-,1315.51413435796
Li7Mg3Zn2O12,Mg1+,Zn1+,Li1+,O1-,1316.8054127632606
Li7Cd3(CuO6)2,Cd1+,Cu1+,Li1+,O1-,1318.0541542631004
Li7Ti3(NO6)2,Ti1+,N1+,Li1+,O1-,1319.3540811588327
Li7Ti3(NO6)2,Ti3+,N4+,Li1+,O2-,1319.3540811588327
Li7Ti3(NO6)2,Ti3+,N2-,Li1+,O1-,1319.3540811588327
Li7Ca3Cd2O12,Ca1+,Cd1+,Li1+,O1-,1319.388944460021
Li7Ti2Cd3O12,Cd1+,Ti1+,Li1+,O1-,1323.796802241507
Na3Li7Zn2O12,Na1+,Zn1+,Li1+,O1-,1324.123994591939
Li7Ti3(SO6)2,Ti1+,S1+,Li1+,O1-,1324.869710923761
Li7Ti3(SO6)2,Ti3+,S2-,Li1+,O1-,1324.869710923761
Li7Ti3(SO6)2,Ti3+,S4+,Li1+,O2-,1324.869710923761
Li7Cd2(AgO4)3,Ag1+,Cd1+,Li1+,O1-,1324.9282135100552
Li7Ti3(CO6)2,Ti3+,C4+,Li1+,O2-,1327.3669274687888
Li7Ti3(CO6)2,Ti3+,C2-,Li1+,O1-,1327.3669274687888
Li7Ti3(CO6)2,Ti1+,C1+,Li1+,O1-,1327.3669274687888
Li7Mg3(GaO6)2,Mg1+,Ga1+,Li1+,O1-,1327.9145972277172
Li5MgO6,Li1+,Mg1+,Li1+,O1-,1328.40773026146
Li7Fe5O12,Fe1+,Fe1+,Li1+,O1-,1329.300537432513
Li7Fe5O12,Fe3+,Fe4+,Li1+,O2-,1329.300537432513
Li7Fe5O12,Fe5+,Fe1+,Li1+,O2-,1329.300537432513
Li7Ti3(SiO6)2,Ti3+,Si2-,Li1+,O1-,1330.7414662549352
Li7Ti3(SiO6)2,Ti3+,Si4+,Li1+,O2-,1330.7414662549352
Li7Ti3(SiO6)2,Ti1+,Si1+,Li1+,O1-,1330.7414662549352
Li7Ti3Al2O12,Ti1+,Al1+,Li1+,O1-,1332.408159919392
Li7Mg3(GeO6)2,Mg1+,Ge1+,Li1+,O1-,1335.1895091011975
Na3Li7(GaO6)2,Na1+,Ga1+,Li1+,O1-,1335.1901690065417
NaLi5O6,Li1+,Na1+,Li1+,O1-,1335.4969293392573
Li7Fe3(ClO6)2,Fe1+,Cl7+,Li1+,O2-,1338.0834402180446
Li7Fe3(ClO6)2,Fe1+,Cl1+,Li1+,O1-,1338.0834402180446
Li7Fe3(ClO6)2,Fe5+,Cl1+,Li1+,O2-,1338.0834402180446
Li7Fe3(ClO6)2,Fe3+,Cl4+,Li1+,O2-,1338.0834402180446
Li7Sn2O15,O1-,Sn4+,Li1+,O1-,1338.280563804425
Li7Fe3(AgO6)2,Fe5+,Ag1+,Li1+,O2-,1341.0918501078463
Li7Fe3(AgO6)2,Fe3+,Ag4+,Li1+,O2-,1341.0918501078463
Li7Fe3(AgO6)2,Fe1+,Ag1+,Li1+,O1-,1341.0918501078463
Li7Ca2(FeO4)3,Fe5+,Ca1+,Li1+,O2-,1341.1508531740992
Li7Ca2(FeO4)3,Fe1+,Ca1+,Li1+,O1-,1341.1508531740992
Na3Li7(GeO6)2,Na1+,Ge1+,Li1+,O1-,1342.434869262566
Li7Fe3(BO6)2,Fe5+,B1+,Li1+,O2-,1344.67143609763
Li7Fe3(BO6)2,Fe1+,B1+,Li1+,O1-,1344.67143609763
Li7Fe2(AgO4)3,Ag1+,Fe1+,Li1+,O1-,1345.6261104134144
Li7Fe2(AgO4)3,Ag3+,Fe4+,Li1+,O2-,1345.6261104134144
Li3CdO4,Cd1+,Li1+,Li1+,O1-,1346.5879706902952
Li7Ca3(FeO6)2,Ca1+,Fe1+,Li1+,O1-,1347.66916160251
Li7Ti3Cd2O12,Ti1+,Cd1+,Li1+,O1-,1349.8985554746218
Li7Mg3(SeO6)2,Mg1+,Se1+,Li1+,O1-,1350.3337188395444
Li7Fe3(NiO6)2,Fe1+,Ni1+,Li1+,O1-,1352.4050164642697
Li7Fe3(NiO6)2,Fe5+,Ni1+,Li1+,O2-,1352.4050164642697
Li7Fe3(NiO6)2,Fe3+,Ni4+,Li1+,O2-,1352.4050164642697
Li7Ag5O12,Ag3+,Ag4+,Li1+,O2-,1352.879933449653
Li7Ag5O12,Ag1+,Ag1+,Li1+,O1-,1352.879933449653
Li7Ag3(ClO6)2,Ag3+,Cl4+,Li1+,O2-,1353.2990578978993
Li7Ag3(ClO6)2,Ag1+,Cl7+,Li1+,O2-,1353.2990578978993
Li7Ag3(ClO6)2,Ag1+,Cl1+,Li1+,O1-,1353.2990578978993
Li7Fe3(CuO6)2,Fe1+,Cu1+,Li1+,O1-,1355.0814376797905
Li7Fe3(CuO6)2,Fe3+,Cu4+,Li1+,O2-,1355.0814376797905
Li7Fe3(CuO6)2,Fe5+,Cu1+,Li1+,O2-,1355.0814376797905
Li7Ca2(AgO4)3,Ag1+,Ca1+,Li1+,O1-,1355.4050622931604
Li7Ca3(AgO6)2,Ca1+,Ag1+,Li1+,O1-,1357.1129799278535
Na3Li7(SeO6)2,Na1+,Se1+,Li1+,O1-,1357.510995437161
Li7Ca3(ClO6)2,Ca1+,Cl7+,Li1+,O2-,1359.1496150975704
Li7Ca3(ClO6)2,Ca1+,Cl1+,Li1+,O1-,1359.1496150975704
Li7Ag3(BO6)2,Ag1+,B1+,Li1+,O1-,1359.4119832081044
Li7Be2Cd3O12,Cd1+,Be1+,Li1+,O1-,1360.3752920655347
Li7Mn2Cd3O12,Cd1+,Mn7+,Li1+,O2-,1361.432001613404
Li7Mn2Cd3O12,Cd1+,Mn1+,Li1+,O1-,1361.432001613404
Li7Ca5O12,Ca1+,Ca1+,Li1+,O1-,1362.1041622351463
Li7Ni2(AgO4)3,Ag1+,Ni1+,Li1+,O1-,1363.3035550797917
Li7Ni2(AgO4)3,Ag3+,Ni4+,Li1+,O2-,1363.3035550797917
Li7Ti2(FeO4)3,Fe1+,Ti1+,Li1+,O1-,1365.0626934111979
Li7Ti2(FeO4)3,Fe1-,Ti4+,Li1+,O1-,1365.0626934111979
Li7Ti2(FeO4)3,Fe5+,Ti1+,Li1+,O2-,1365.0626934111979
Li7Ti2(FeO4)3,Fe3+,Ti4+,Li1+,O2-,1365.0626934111979
Li7Cu2(AgO4)3,Ag1+,Cu1+,Li1+,O1-,1365.2227097583543
Li7Cu2(AgO4)3,Ag3+,Cu4+,Li1+,O2-,1365.2227097583543
Li7Mg2Mn3O12,Mn1+,Mg1+,Li1+,O1-,1367.9005733727838
Li7Mg2Mn3O12,Mn5+,Mg1+,Li1+,O2-,1367.9005733727838
Li7Ca3(BO6)2,Ca1+,B1+,Li1+,O1-,1369.2672077247998
Li7Ca3(NiO6)2,Ca1+,Ni1+,Li1+,O1-,1372.8401846421773
Na2Li7Mn3O12,Mn5+,Na1+,Li1+,O2-,1372.958422638947
Na2Li7Mn3O12,Mn1+,Na1+,Li1+,O1-,1372.958422638947
Li7Ti2(AgO4)3,Ag3+,Ti4+,Li1+,O2-,1373.3253080986983
Li7Ti2(AgO4)3,Ag1+,Ti1+,Li1+,O1-,1373.3253080986983
Li7Ca3(CuO6)2,Ca1+,Cu1+,Li1+,O1-,1375.3695897855691
Li7Ge2O15,O1-,Ge4+,Li1+,O1-,1383.1550876093102
Li7Ti3(FeO6)2,Ti3+,Fe4+,Li1+,O2-,1383.8068303275772
Li7Ti3(FeO6)2,Ti3+,Fe2-,Li1+,O1-,1383.8068303275772
Li7Ti3(FeO6)2,Ti1+,Fe1+,Li1+,O1-,1383.8068303275772
Li7Ti3(AgO6)2,Ti3+,Ag4+,Li1+,O2-,1386.6152862428348
Li7Ti3(AgO6)2,Ti1+,Ag1+,Li1+,O1-,1386.6152862428348
Li5NO6,Li1+,N1+,Li1+,O1-,1387.3622140018422
Li5SO6,Li1+,S1+,Li1+,O1-,1387.4128812826234
Li7Ca3Ti2O12,Ca1+,Ti1+,Li1+,O1-,1387.7784538661672
Li7Zn2Cd3O12,Cd1+,Zn1+,Li1+,O1-,1392.853514128937
Li5SiO6,Li1+,Si1+,Li1+,O1-,1397.122180734053
Li7Se2O15,O1-,Se4+,Li1+,O1-,1397.7865522353964
Li7Ti3(ClO6)2,Ti1+,Cl1+,Li1+,O1-,1397.9363936725917
Li7Ti3(ClO6)2,Ti3+,Cl4+,Li1+,O2-,1397.9363936725917
Li7Ti3(ClO6)2,Ti1+,Cl7+,Li1+,O2-,1397.9363936725917
Li5CdO6,Li1+,Cd1+,Li1+,O1-,1398.0919936621908
Li7Cd3(GaO6)2,Cd1+,Ga1+,Li1+,O1-,1398.9540455969309
Li5CO6,Li1+,C1+,Li1+,O1-,1399.7730395670724
Li5AlO6,Li1+,Al1+,Li1+,O1-,1399.9024914164047
Li7Ca2Ti3O12,Ti1+,Ca1+,Li1+,O1-,1399.969591038229
Li7Mn3O14,Mn7+,O2-,Li1+,O2-,1400.8615003630548
Li7Mn3O14,Mn3+,O2-,Li1+,O1-,1400.8615003630548
Li7Cd3(GeO6)2,Cd1+,Ge1+,Li1+,O1-,1402.9965448418238
Li3AgO4,Ag1+,Li1+,Li1+,O1-,1403.6668451928706
Li3FeO4,Fe5+,Li1+,Li1+,O2-,1405.0229764775465
Li3FeO4,Fe1+,Li1+,Li1+,O1-,1405.0229764775465
Li7Ti3(NiO6)2,Ti1+,Ni1+,Li1+,O1-,1407.3947360236189
Li7Ti3(NiO6)2,Ti3+,Ni4+,Li1+,O2-,1407.3947360236189
Li7Mn3(SO6)2,Mn3+,S4+,Li1+,O2-,1407.5049081363659
Li7Mn3(SO6)2,Mn5+,S1+,Li1+,O2-,1407.5049081363659
Li7Mn3(SO6)2,Mn1+,S1+,Li1+,O1-,1407.5049081363659
Li7Mn3(SO6)2,Mn7+,S2-,Li1+,O2-,1407.5049081363659
Li7Mn3(SO6)2,Mn3+,S2-,Li1+,O1-,1407.5049081363659
Li7Mn3(NO6)2,Mn1+,N1+,Li1+,O1-,1409.1453782156227
Li7Mn3(NO6)2,Mn3+,N2-,Li1+,O1-,1409.1453782156227
Li7Mn3(NO6)2,Mn7+,N2-,Li1+,O2-,1409.1453782156227
Li7Mn3(NO6)2,Mn3+,N4+,Li1+,O2-,1409.1453782156227
Li7Mn3(NO6)2,Mn5+,N1+,Li1+,O2-,1409.1453782156227
Li7Ti3(CuO6)2,Ti3+,Cu4+,Li1+,O2-,1409.1526089398849
Li7Ti3(CuO6)2,Ti1+,Cu1+,Li1+,O1-,1409.1526089398849
Li7Mn3Cd2O12,Mn1+,Cd1+,Li1+,O1-,1410.6210167472204
Li7Mn3Cd2O12,Mn5+,Cd1+,Li1+,O2-,1410.6210167472204
Li7Mn2(AgO4)3,Ag1+,Mn1+,Li1+,O1-,1410.6822994476358
Li7Mn2(AgO4)3,Ag3+,Mn4+,Li1+,O2-,1410.6822994476358
Li7Mn2(AgO4)3,Ag1+,Mn7+,Li1+,O2-,1410.6822994476358
Li7Cd3(SeO6)2,Cd1+,Se1+,Li1+,O1-,1411.5351388438846
Li7Ti3(BO6)2,Ti1+,B1+,Li1+,O1-,1412.1819760731073
Li7In3(AuO6)2,In1+,Au1+,Li1+,O1-,1412.6145473566544
Li7Ag3(SnO6)2,Ag3+,Sn4+,Li1+,O2-,1413.390744861181
Li7Mn2(FeO4)3,Fe1+,Mn1+,Li1+,O1-,1413.900854511167
Li7Mn2(FeO4)3,Fe1-,Mn4+,Li1+,O1-,1413.900854511167
Li7Mn2(FeO4)3,Fe5+,Mn1+,Li1+,O2-,1413.900854511167
Li7Mn2(FeO4)3,Fe1+,Mn7+,Li1+,O2-,1413.900854511167
Li7Mn2(FeO4)3,Fe3+,Mn4+,Li1+,O2-,1413.900854511167
Li7Mn3(SiO6)2,Mn5+,Si1+,Li1+,O2-,1414.5317234724516
Li7Mn3(SiO6)2,Mn3+,Si4+,Li1+,O2-,1414.5317234724516
Li7Mn3(SiO6)2,Mn3+,Si2-,Li1+,O1-,1414.5317234724516
Li7Mn3(SiO6)2,Mn1+,Si1+,Li1+,O1-,1414.5317234724516
Li7Mn3(SiO6)2,Mn7+,Si2-,Li1+,O2-,1414.5317234724516
Li7Mn3Al2O12,Mn5+,Al1+,Li1+,O2-,1416.5241912464703
Li7Mn3Al2O12,Mn1+,Al1+,Li1+,O1-,1416.5241912464703
Li7Fe3(SnO6)2,Fe3+,Sn4+,Li1+,O2-,1416.628197271472
Li7Be2(AgO4)3,Ag1+,Be1+,Li1+,O1-,1417.3707903854227
Li7Mn3(CO6)2,Mn3+,C2-,Li1+,O1-,1417.597121909957
Li7Mn3(CO6)2,Mn5+,C1+,Li1+,O2-,1417.597121909957
Li7Mn3(CO6)2,Mn1+,C1+,Li1+,O1-,1417.597121909957
Li7Mn3(CO6)2,Mn7+,C2-,Li1+,O2-,1417.597121909957
Li7Mn3(CO6)2,Mn3+,C4+,Li1+,O2-,1417.597121909957
Li7Ti5O12,Ti3+,Ti4+,Li1+,O2-,1423.1646950667077
Li7Ti5O12,Ti1+,Ti1+,Li1+,O1-,1423.1646950667077
Li7Be2(FeO4)3,Fe1+,Be1+,Li1+,O1-,1423.7326846588549
Li7Be2(FeO4)3,Fe5+,Be1+,Li1+,O2-,1423.7326846588549
Li7Mg2Zn3O12,Zn1+,Mg1+,Li1+,O1-,1436.2875368137238
Li3CaO4,Ca1+,Li1+,Li1+,O1-,1437.7454991489096
Li7Ca3Mn2O12,Ca1+,Mn7+,Li1+,O2-,1440.8419989645413
Li7Ca3Mn2O12,Ca1+,Mn1+,Li1+,O1-,1440.8419989645413
Li7Zn2(AgO4)3,Ag1+,Zn1+,Li1+,O1-,1441.235943933431
Na2Li7Zn3O12,Zn1+,Na1+,Li1+,O1-,1441.3888996022547
Li7Co3(AuO6)2,Co1+,Au1+,Li1+,O1-,1443.7763306902634
Li7Co3(AuO6)2,Co5+,Au1+,Li1+,O2-,1443.7763306902634
Li5AgO6,Li1+,Ag1+,Li1+,O1-,1445.174406127185
Li7Ga2(AgO4)3,Ag1+,Ga1+,Li1+,O1-,1446.8613635795155
Li7Mn3(AgO6)2,Mn1+,Ag1+,Li1+,O1-,1446.9719998460546
Li7Mn3(AgO6)2,Mn3+,Ag4+,Li1+,O2-,1446.9719998460546
Li7Mn3(AgO6)2,Mn5+,Ag1+,Li1+,O2-,1446.9719998460546
Li7Ag3(GeO6)2,Ag1+,Ge1+,Li1+,O1-,1450.5875700035126
Li7Ag3(GeO6)2,Ag3+,Ge2-,Li1+,O1-,1450.5875700035126
Li7Ag3(GeO6)2,Ag3+,Ge4+,Li1+,O2-,1450.5875700035126
Li7Zn2(FeO4)3,Fe5+,Zn1+,Li1+,O2-,1453.1774647970951
Li7Zn2(FeO4)3,Fe1+,Zn1+,Li1+,O1-,1453.1774647970951
Li7Mn3(FeO6)2,Mn3+,Fe2-,Li1+,O1-,1456.423593976092
Li7Mn3(FeO6)2,Mn5+,Fe1+,Li1+,O2-,1456.423593976092
Li7Mn3(FeO6)2,Mn7+,Fe2-,Li1+,O2-,1456.423593976092
Li7Mn3(FeO6)2,Mn1+,Fe1+,Li1+,O1-,1456.423593976092
Li7Mn3(FeO6)2,Mn3+,Fe4+,Li1+,O2-,1456.423593976092
Li5FeO6,Li1+,Fe1+,Li1+,O1-,1457.772436241064
Li7Ca3Be2O12,Ca1+,Be1+,Li1+,O1-,1458.4334644806272
Li7Ag3(SeO6)2,Ag3+,Se4+,Li1+,O2-,1458.4542622922668
Li7Ag3(SeO6)2,Ag3+,Se2-,Li1+,O1-,1458.4542622922668
Li7Ag3(SeO6)2,Ag1+,Se1+,Li1+,O1-,1458.4542622922668
Li7Zn3Cd2O12,Zn1+,Cd1+,Li1+,O1-,1458.7661540730996
Li7Ga2(FeO4)3,Fe5+,Ga1+,Li1+,O2-,1460.2181164173915
Li7Ga2(FeO4)3,Fe1+,Ga1+,Li1+,O1-,1460.2181164173915
Li7Ti3(SnO6)2,Ti3+,Sn4+,Li1+,O2-,1463.4720547335203
Li7Fe3(GeO6)2,Fe5+,Ge1+,Li1+,O2-,1464.8543860549464
Li7Fe3(GeO6)2,Fe3+,Ge4+,Li1+,O2-,1464.8543860549464
Li7Fe3(GeO6)2,Fe3+,Ge2-,Li1+,O1-,1464.8543860549464
Li7Fe3(GeO6)2,Fe1+,Ge1+,Li1+,O1-,1464.8543860549464
Li7Mg3In2O12,Mg1+,In1+,Li1+,O1-,1465.1927307381573
Li7Zn3(SO6)2,Zn1+,S1+,Li1+,O1-,1471.2895918207648
Na3Li7In2O12,Na1+,In1+,Li1+,O1-,1472.2558957536357
Li7Ti3Mn2O12,Ti3+,Mn4+,Li1+,O2-,1472.7056270786954
Li7Ti3Mn2O12,Ti3+,Mn2-,Li1+,O1-,1472.7056270786954
Li7Ti3Mn2O12,Ti1+,Mn7+,Li1+,O2-,1472.7056270786954
Li7Ti3Mn2O12,Ti1+,Mn1+,Li1+,O1-,1472.7056270786954
